"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model","sensor_config","C","gamma","kernel","max_depth","max_iter","multi_class","n_estimators","n_neighbors","random_state","solver","generalization_gap","test_accuracy","test_f1","train_accuracy","train_f1"
"knn_accel_df5ef8","finished","-","","","2025-08-08T18:27:04.000Z","8","","knn","accel","","","","","","","","5","","","0.03555357562863393","0.9606379368849678","0.9605342036601427","0.9961915125136016","0.9961897691129092"
"logistic_multinomial_fused_49966d","finished","-","","","2025-08-08T18:26:59.000Z","5","","logistic_multinomial","fused","","","","","500","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_multinomial_fused_32f8f7","finished","-","","","2025-08-08T18:26:55.000Z","4","","logistic_multinomial","fused","","","","","1000","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_multinomial_gyro_bee53e","finished","-","","","2025-08-08T18:26:51.000Z","3","","logistic_multinomial","gyro","","","","","500","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_multinomial_gyro_989cea","finished","-","","","2025-08-08T18:26:47.000Z","3","","logistic_multinomial","gyro","","","","","1000","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_multinomial_accel_bbae2b","finished","-","","","2025-08-08T18:26:42.000Z","4","","logistic_multinomial","accel","","","","","500","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_multinomial_accel_9fa33e","finished","-","","","2025-08-08T18:26:39.000Z","3","","logistic_multinomial","accel","","","","","1000","multinomial","","","42","lbfgs","0.023074312860536184","0.9769256871394638","0.9769357633683492","1","1"
"logistic_ovr_fused_ee5d03","finished","-","","","2025-08-08T18:26:34.000Z","4","","logistic_ovr","fused","","","","","500","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
"logistic_ovr_fused_bcdc69","finished","-","","","2025-08-08T18:26:30.000Z","4","","logistic_ovr","fused","","","","","1000","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
"logistic_ovr_gyro_a5eb59","finished","-","","","2025-08-08T18:26:26.000Z","4","","logistic_ovr","gyro","","","","","500","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
"logistic_ovr_gyro_983116","finished","-","","","2025-08-08T18:26:22.000Z","4","","logistic_ovr","gyro","","","","","1000","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
"logistic_ovr_accel_cac4eb","finished","-","","","2025-08-08T18:26:17.000Z","4","","logistic_ovr","accel","","","","","500","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
"logistic_ovr_accel_18e0e7","finished","-","","","2025-08-08T18:26:10.000Z","7","","logistic_ovr","accel","","","","","1000","ovr","","","42","","0.017305734645402082","0.982694265354598","0.9826521174519262","1","1"
